Data/Hora,Protocolo,Cenário,Arquivo,Duração(s),Throughput(KB/s)
2026-06-25 21:02:22,HTTP-RUDP,cenarioA,arquivo_1mb.bin,3.2367,316.38
2026-06-25 21:02:27,HTTP-RUDP,cenarioA,arquivo_1mb.bin,3.2373,316.32
2026-06-25 21:02:32,HTTP-RUDP,cenarioA,arquivo_1mb.bin,3.2238,317.64
2026-06-25 21:02:37,HTTP-RUDP,cenarioA,arquivo_1mb.bin,3.2449,315.57
2026-06-25 21:02:41,HTTP-RUDP,cenarioA,arquivo_1mb.bin,3.2260,317.42
2026-06-25 21:02:46,HTTP-RUDP,cenarioA,arquivo_1mb.bin,3.2043,319.57
2026-06-25 21:02:50,HTTP-RUDP,cenarioA,arquivo_1mb.bin,3.2170,318.31
2026-06-25 21:02:55,HTTP-RUDP,cenarioA,arquivo_1mb.bin,3.2233,317.69
2026-06-25 21:03:00,HTTP-RUDP,cenarioA,arquivo_1mb.bin,3.2432,315.74
2026-06-25 21:03:05,HTTP-RUDP,cenarioA,arquivo_1mb.bin,3.2337,316.67
2026-06-25 21:03:49,HTTP-RUDP,cenarioB,arquivo_1mb.bin,17.8121,57.49
2026-06-25 21:04:11,HTTP-RUDP,cenarioB,arquivo_1mb.bin,19.6949,51.99
2026-06-25 21:04:30,HTTP-RUDP,cenarioB,arquivo_1mb.bin,18.1939,56.28
2026-06-25 21:04:54,HTTP-RUDP,cenarioB,arquivo_1mb.bin,21.8317,46.90
2026-06-25 21:05:16,HTTP-RUDP,cenarioB,arquivo_1mb.bin,20.8227,49.18
2026-06-25 21:05:43,HTTP-RUDP,cenarioB,arquivo_1mb.bin,22.8342,44.85
2026-06-25 21:06:04,HTTP-RUDP,cenarioB,arquivo_1mb.bin,19.7067,51.96
2026-06-25 21:06:26,HTTP-RUDP,cenarioB,arquivo_1mb.bin,19.8219,51.66
2026-06-25 21:06:48,HTTP-RUDP,cenarioB,arquivo_1mb.bin,20.8335,49.15
2026-06-25 21:07:12,HTTP-RUDP,cenarioB,arquivo_1mb.bin,22.2007,46.12
2026-06-25 21:08:38,HTTP-RUDP,cenarioC,arquivo_1mb.bin,42.3065,24.20
2026-06-25 21:09:21,HTTP-RUDP,cenarioC,arquivo_1mb.bin,38.6699,26.48
2026-06-25 21:10:00,HTTP-RUDP,cenarioC,arquivo_1mb.bin,38.1649,26.83
2026-06-25 21:10:46,HTTP-RUDP,cenarioC,arquivo_1mb.bin,44.1903,23.17
2026-06-25 21:11:32,HTTP-RUDP,cenarioC,arquivo_1mb.bin,44.3171,23.11
2026-06-25 21:12:14,HTTP-RUDP,cenarioC,arquivo_1mb.bin,40.1540,25.50
2026-06-25 21:12:58,HTTP-RUDP,cenarioC,arquivo_1mb.bin,42.1859,24.27
2026-06-25 21:13:45,HTTP-RUDP,cenarioC,arquivo_1mb.bin,45.7185,22.40
2026-06-25 21:14:26,HTTP-RUDP,cenarioC,arquivo_1mb.bin,39.1795,26.14
2026-06-25 21:15:09,HTTP-RUDP,cenarioC,arquivo_1mb.bin,41.3132,24.79
